"","X","sample.id","PC1","PC2","country","chrom","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS"
"46",46,"KEN_ALUM043_trimmed",-0.487434929626588,0.0472820120491995,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",2184652.3961907,558,0,0,0
"47",47,"KEN_ALUM044_trimmed",-0.0101863284317663,-0.0418791734481992,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1199907.43276401,558,0,0,0
"48",48,"KEN_ALUM045_trimmed",-0.496203143582715,0.0254157930395657,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",713981.585562335,558,0,0,0
"49",49,"KEN_ALUM046_trimmed",-0.494494582172728,0.0448970656378474,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1394275.04235056,558,0,0,0
"50",50,"KEN_ALUM047_trimmed",-0.494372748980249,0.0447109430493861,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1938963.73932989,558,0,0,0
"51",51,"KEN_ALUM048_trimmed",-0.489031385266583,0.019756732457476,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",3229003.06901529,558,0,0,0
"52",52,"KEN_ALUM049_trimmed",-0.490195954949234,0.0239426348368751,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",3102234.55766991,558,0,0,0
"53",53,"KEN_ALUM050_trimmed",-0.492697538474466,0.0154233964241464,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1490561.83016536,558,0,0,0
"54",54,"KEN_ALUM051_trimmed",-0.500127146270308,0.02430675342802,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",4049992.5309717,558,0,0,0
"55",55,"KEN_ALUM052_trimmed",-0.493389041479131,0.0224638129980906,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",4007301.66225381,558,0,0,0
"56",56,"KEN_ALUM053_trimmed",-0.495897556638383,0.0253479445157125,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",843507.057676876,558,0,0,0
"57",57,"KEN_ALUM054_trimmed",-0.00976063575251808,-0.0418826235671451,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",6378879.82140651,558,0,0,0
"58",58,"KEN_ALUM055_trimmed",-0.499612683884385,0.033365640425982,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",652809.315738611,558,0,0,0
"59",59,"KEN_ALUM056_trimmed",-0.0101277073088747,-0.0418843194422105,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1618948.9413391,558,0,0,0
"60",60,"KEN_ALUM057_trimmed",-0.489211012893575,0.0201052729138697,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1398438.37525028,558,0,0,0
"61",61,"KEN_ALUM058_trimmed",-0.490806398833699,0.0245203550451522,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1680061.45300443,558,0,0,0
"62",62,"KEN_ALUM059_trimmed",-0.493209536900317,0.0157351238927433,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",3695962.37768314,558,0,0,0
"63",63,"KEN_ALUM060_trimmed",-0.493101486870449,0.0155532331053968,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1295887.59413743,558,0,0,0
"64",64,"KEN_ALUM061_trimmed",-0.493331160946767,0.0223715543217692,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1579442.1920325,558,0,0,0
"65",65,"KEN_ALUM062_trimmed",-0.48958842162006,0.0187876159679398,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1226771.03755315,558,0,0,0
"66",66,"KEN_ALUM063_trimmed",0.00477294410432095,-0.0401928930234801,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",6715614.92611616,558,0,0,0
"67",67,"KEN_ALUM064_trimmed",-0.493275238551998,0.0158414413646093,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",5347770.52377677,558,0,0,0
"68",68,"KEN_ALUM065_trimmed",-0.500131883361917,0.024229159456844,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",4418804.0997288,558,0,0,0
"69",69,"KEN_ALUM066_trimmed",-0.00923344746751318,-0.0413588461247734,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1010618.21330087,558,0,0,0
"70",70,"KEN_ALUM067_trimmed",-0.495143731660886,0.037398240190544,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",742005.310273495,558,0,0,0
"71",71,"KEN_ALUM068_trimmed",-0.499402144886117,0.0226636795410998,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1018744.55775306,558,0,0,0
"72",72,"MMR002_trimmed",-0.339205058267068,-0.261688553427286,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",48577.1402431032,558,0,0,0
