"","species","start_pos","mitogenome_size_bp","sample_id","raw_read_counts","raw_reads_n","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS","chrom","PC1","PC2","country"
"43","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM041_trimmed",5040099,323691682,1090078.27983862,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.429764749901978,0.082552284229389,"Kenya"
"44","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM042_trimmed",6025491,251381274,1678068.47139626,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.41718479389354,-0.14484875127206,"Kenya"
"45","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM043_trimmed",4558742,143935126,2217320.03089061,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.416813731777656,0.0880816798304648,"Kenya"
"46","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM045_trimmed",1816610,175446048,724883.591309863,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.427867618560121,0.00529927539300458,"Kenya"
"47","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM046_trimmed",1870496,92548370,1414940.46899028,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.426835361815617,0.103291302582755,"Kenya"
"48","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM047_trimmed",2860563,101619008,1970728.16940895,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.426780760845492,0.103081659354002,"Kenya"
"49","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM048_trimmed",4345570,92929510,3273733.03882545,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.41363877276648,0.020682188812881,"Kenya"
"50","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM049_trimmed",5338625,118825398,3145359.54537244,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.419235540443201,-0.0919678453183761,"Kenya"
"51","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM050_trimmed",2405368,111419924,1511363.15185516,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.416920881583946,-0.14463033215559,"Kenya"
"52","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM051_trimmed",6280194,107281166,4098262.13075271,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.431708218740439,0.00571072944143665,"Kenya"
"53","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM052_trimmed",5098222,87706278,4069473.45553102,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.42101093022275,-0.0966999964962648,"Kenya"
"54","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM053_trimmed",3118804,255900564,853231.730656646,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.427749198076699,0.00526422381785458,"Kenya"
"55","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM055_trimmed",2128441,225170420,661759.884136318,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.429508107997948,0.0851888388127737,"Kenya"
"56","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM057_trimmed",1658155,81778276,1419506.32676117,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.414175836561325,0.0125640109631604,"Kenya"
"57","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM058_trimmed",2103479,86396810,1704474.98402037,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.421988777575635,0.00631817343191589,"Kenya"
"58","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM059_trimmed",5784798,108176496,3743737.99401837,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.417116745665849,-0.144763193442579,"Kenya"
"59","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM060_trimmed",1838033,98446872,1307078.10940057,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.417100385009792,-0.143689350702638,"Kenya"
"60","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM061_trimmed",3005197,131098784,1604813.02926808,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.420986226344386,-0.0966659255475884,"Kenya"
