"","species","start","end","sample_id","raw_read_counts","raw_reads_n","normalised","country","total_read_counts","percentage"
"201","Ascaris_lum_TZA",0,14280,"KEN_ALUM022_trimmed",4452,92653094,3364.86017274666,"Kenya",2946688.96490233,0.0011419122319407
"202","Ascaris_lum_TZA",0,14280,"KEN_ALUM023_trimmed",5340,218214108,1713.68195786834,"Kenya",2946688.96490233,0.000581561874456315
"203","Ascaris_lum_TZA",0,14280,"KEN_ALUM024_trimmed",4274,91632412,3266.30843121269,"Kenya",2946688.96490233,0.00110846732387344
"204","Ascaris_lum_TZA",0,14280,"KEN_ALUM025_trimmed",7331,85278918,6019.95618823466,"Kenya",2946688.96490233,0.00204295609748353
"205","Ascaris_lum_TZA",0,14280,"KEN_ALUM026_trimmed",4702,128494112,2562.54316682988,"Kenya",2946688.96490233,0.00086963476544421
"206","Ascaris_lum_TZA",0,14280,"KEN_ALUM027_trimmed",4470,111734828,2801.50080048482,"Kenya",2946688.96490233,0.000950728371352786
"207","Ascaris_lum_TZA",0,14280,"KEN_ALUM028_trimmed",5894,309329480,1334.32189534349,"Kenya",2946688.96490233,0.000452820746008975
"208","Ascaris_lum_TZA",0,14280,"KEN_ALUM029_trimmed",5355,178970560,2095.3166822521,"Kenya",2946688.96490233,0.000711074941131952
"209","Ascaris_lum_TZA",0,14280,"KEN_ALUM030_trimmed",25445,174448136,10214.2836602051,"Kenya",2946688.96490233,0.0034663596266407
"210","Ascaris_lum_TZA",0,14280,"KEN_ALUM031_trimmed",4571,74258220,4310.60748851354,"Kenya",2946688.96490233,0.0014628647746188
"211","Ascaris_lum_TZA",0,14280,"KEN_ALUM032_trimmed",3580,94992872,2639.14833643565,"Kenya",2946688.96490233,0.000895631798221747
"212","Ascaris_lum_TZA",0,14280,"KEN_ALUM033_trimmed",4426,84827536,3653.81328052528,"Kenya",2946688.96490233,0.00123997249931887
"213","Ascaris_lum_TZA",0,14280,"KEN_ALUM034_trimmed",16170,98584654,11486.0974323293,"Kenya",2946688.96490233,0.00389796736918584
"214","Ascaris_lum_TZA",0,14280,"KEN_ALUM035_trimmed",8500,85712172,6944.61569866757,"Kenya",2946688.96490233,0.00235675219929354
"215","Ascaris_lum_TZA",0,14280,"KEN_ALUM036_trimmed",5722,77384396,5178.05010860387,"Kenya",2946688.96490233,0.00175724352664262
"216","Ascaris_lum_TZA",0,14280,"KEN_ALUM037_trimmed",31224,97340932,22462.8486385228,"Kenya",2946688.96490233,0.00762308099228496
"217","Ascaris_lum_TZA",0,14280,"KEN_ALUM038_trimmed",1950,100083378,1364.40860188332,"Kenya",2946688.96490233,0.000463031089515938
"218","Ascaris_lum_TZA",0,14280,"KEN_ALUM039_trimmed",3210,98325008,2286.19270457,"Kenya",2946688.96490233,0.000775851381601714
"219","Ascaris_lum_TZA",0,14280,"KEN_ALUM040_trimmed",5467,114332142,3348.51714100574,"Kenya",2946688.96490233,0.00113636599617046
"220","Ascaris_lum_TZA",0,14280,"KEN_ALUM041_trimmed",30336,323691682,6562.94204031835,"Kenya",2946688.96490233,0.00222722591983368
"221","Ascaris_lum_TZA",0,14280,"KEN_ALUM042_trimmed",20243,251381274,5639.15127111785,"Kenya",2946688.96490233,0.0019137246374779
"222","Ascaris_lum_TZA",0,14280,"KEN_ALUM043_trimmed",10372,143935126,5046.23542840325,"Kenya",2946688.96490233,0.00171251037639478
"223","Ascaris_lum_TZA",0,14280,"KEN_ALUM044_trimmed",19,126166164,10.5458719731318,"Kenya",2946688.96490233,3.57888874555221e-06
"224","Ascaris_lum_TZA",0,14280,"KEN_ALUM045_trimmed",4275,175446048,1706.33508883118,"Kenya",2946688.96490233,0.000579068611976065
